AR 100 100
A 49 11 6
A 49 12 7
A 49 13 4
A 49 14 13
A 49 15 7
A 49 16 11
A 49 17 2
A 49 18 13
A 49 19 17
A 49 20 2
A 49 21 21
A 49 22 14
A 49 23 0
A 49 24 21
A 49 25 18
A 49 26 21
A 49 27 10
A 49 28 13
A 49 29 12
A 49 30 8
A 49 31 11
A 49 32 7
A 49 33 14
A 49 34 22
A 49 35 4
A 49 36 10
A 49 37 24
A 49 38 20
A 49 39 21
A 49 40 11
A 49 41 24
A 49 42 4
A 49 43 0
A 49 44 12
A 49 45 4
A 49 46 6
A 49 47 11
A 49 48 19
A 49 49 10
A 49 50 14
A 49 51 0
A 49 52 16
A 49 53 15
A 49 54 16
A 49 55 2
A 49 56 3
A 49 57 13
A 49 58 3
A 49 59 13
A 49 60 9
A 49 61 13
A 49 62 19
A 49 63 13
A 49 64 17
A 49 65 23
A 49 66 13
A 49 67 15
A 49 68 9
A 49 69 7
A 49 70 2
A 49 71 17
A 49 72 10
A 49 73 20
A 49 74 18
A 49 75 19
A 49 76 25
A 49 77 3
A 49 78 11
A 49 79 3
A 49 80 9
A 49 81 5
A 49 82 24
A 49 83 7
A 49 84 23
A 49 85 8
A 49 86 19
A 49 87 9
A 49 88 19
A 49 89 8
A 49 90 22
A 49 91 19
A 49 92 12
A 49 93 13
A 49 94 16
A 49 95 4
A 49 96 5
A 49 97 15
A 49 98 22
A 49 99 17
A 50 0 18
A 50 1 12
A 50 2 3
A 50 3 1
A 50 4 13
A 50 5 20
A 50 6 15
A 50 7 23
A 50 8 18
A 50 9 19
A 50 10 3
A 50 11 16
A 50 12 22
A 50 13 11
A 50 14 18
A 50 15 1
A 50 16 3
A 50 17 21
A 50 18 23
A 50 19 14
A 50 20 22
A 50 21 4
A 50 22 24
A 50 23 2
A 50 24 12
A 50 25 1
A 50 26 12
A 50 27 23
A 50 28 24
A 50 29 10
A 50 30 9
A 50 31 9
A 50 32 0
A 50 33 18
A 50 34 11
A 50 35 10
A 50 36 6
A 50 37 9
A 50 38 10
A 50 39 9
A 50 40 7
A 50 41 4
A 50 42 21
A 50 43 13
A 50 44 17
A 50 45 4
A 50 46 14
A 50 47 18
A 50 48 2
A 50 49 9
A 50 50 2
A 50 51 23
A 50 52 14
A 50 53 19
A 50 54 11
A 50 55 16
A 50 56 17
A 50 57 8
A 50 58 3
A 50 59 20
A 50 60 16
A 50 61 12
A 50 62 7
A 50 63 11
A 50 64 17
A 50 65 16
A 50 66 9
A 50 67 24
A 50 68 7
A 50 69 9
A 50 70 15
A 50 71 5
A 50 72 11
A 50 73 8
A 50 74 13
A 50 75 7
A 50 76 21
A 50 77 22
A 50 78 3
A 50 79 19
A 50 80 14
A 50 81 10
A 50 82 6
A 50 83 15
A 50 84 3
A 50 85 19
A 50 86 8
A 50 87 12
A 50 88 2
A 50 89 14
A 50 90 4
A 50 91 3
A 50 92 24
A 50 93 10
A 50 94 2
A 50 95 19
A 50 96 16
A 50 97 1
A 50 98 0
A 50 99 12
A 51 0 18
A 51 1 12
A 51 2 14
A 51 3 5
A 51 4 8
A 51 5 25
A 51 6 15
A 51 7 14
A 51 8 7
A 51 9 11
A 51 10 19
A 51 11 7
A 51 12 18
A 51 13 4
A 51 14 18
A 51 15 5
A 51 16 2
A 51 17 17
A 51 18 9
A 51 19 15
A 51 20 4
A 51 21 5
A 51 22 24
A 51 23 17
A 51 24 8
A 51 25 9
A 51 26 4
A 51 27 24
A 51 28 23
A 51 29 4
A 51 30 13
A 51 31 17
A 51 32 10
A 51 33 3
A 51 34 11
A 51 35 1
A 51 36 22
A 51 37 7
A 51 38 18
A 51 39 4
A 51 40 12
A 51 41 11
A 51 42 18
A 51 43 12
A 51 44 19
A 51 45 17
A 51 46 13
A 51 47 21
A 51 48 0
A 51 49 14
A 51 50 2
A 51 51 7
A 51 52 24
A 51 53 12
A 51 54 9
A 51 55 13
A 51 56 24
A 51 57 4
A 51 58 13
A 51 59 6
A 51 60 24
A 51 61 6
A 51 62 7
A 51 63 22
A 51 64 7
A 51 65 2
A 51 66 24
A 51 67 1
A 51 68 8
A 51 69 11
A 51 70 19
A 51 71 19
A 51 72 14
A 51 73 17
A 51 74 6
A 51 75 10
A 51 76 2
A 51 77 23
A 51 78 9
A 51 79 24
A 51 80 6
A 51 81 3
A 51 82 17
A 51 83 9
A 51 84 2
A 51 85 22
A 51 86 21
A 51 87 9
A 51 88 0
A 51 89 20
A 51 90 11
A 51 91 4
A 51 92 12
A 51 93 14
A 51 94 17
A 51 95 13
A 51 96 8
A 51 97 6
A 51 98 8
A 51 99 0
A 52 0 22
A 52 1 16
A 52 2 11
A 52 3 21
A 52 4 8
A 52 5 21
A 52 6 14
A 52 7 5
A 52 8 6
A 52 9 19
A 52 10 16
A 52 11 13
A 52 12 12
A 52 13 17
A 52 14 6
A 52 15 19
A 52 16 15
A 52 17 0
A 52 18 17
A 52 19 15
A 52 20 3
A 52 21 2
A 52 22 9
A 52 23 9
A 52 24 17
A 52 25 20
A 52 26 10
A 52 27 14
A 52 28 16
A 52 29 12
A 52 30 25
A 52 31 15
A 52 32 13
A 52 33 24
A 52 34 19
A 52 35 24
A 52 36 2
A 52 37 4
A 52 38 15
A 52 39 17
A 52 40 4
A 52 41 8
A 52 42 9
A 52 43 9
A 52 44 20
A 52 45 22
A 52 46 4
A 52 47 19
A 52 48 19
A 52 49 12
A 52 50 1
A 52 51 22
A 52 52 18
A 52 53 16
A 52 54 20
A 52 55 22
A 52 56 24
A 52 57 0
A 52 58 25
A 52 59 16
A 52 60 2
A 52 61 9
A 52 62 5
A 52 63 13
A 52 64 21
A 52 65 2
A 52 66 19
A 52 67 4
A 52 68 1
A 52 69 14
A 52 70 3
A 52 71 12
A 52 72 13
A 52 73 9
A 52 74 17
A 52 75 11
A 52 76 5
A 52 77 12
A 52 78 19
A 52 79 24
A 52 80 6
A 52 81 25
A 52 82 6
A 52 83 14
A 52 84 21
A 52 85 20
A 52 86 6
A 52 87 16
A 52 88 13
A 52 89 20
A 52 90 12
A 52 91 16
A 52 92 22
A 52 93 6
A 52 94 23
A 52 95 24
A 52 96 20
A 52 97 21
A 52 98 16
A 52 99 16
A 53 0 21
A 53 1 15
A 53 2 3
A 53 3 22
A 53 4 19
A 53 5 7
A 53 6 11
A 53 7 0
A 53 8 19
A 53 9 10
A 53 10 8
A 53 11 19
A 53 12 18
A 53 13 8
A 53 14 15
A 53 15 15
A 53 16 21
A 53 17 15
A 53 18 9
A 53 19 1
A 53 20 16
A 53 21 24
A 53 22 14
A 53 23 19
A 53 24 4
A 53 25 11
A 53 26 23
A 53 27 10
A 53 28 7
A 53 29 16
A 53 30 10
A 53 31 1
A 53 32 14
A 53 33 16
A 53 34 9
A 53 35 12
A 53 36 11
A 53 37 0
A 53 38 22
A 53 39 8
A 53 40 7
A 53 41 25
A 53 42 1
A 53 43 12
A 53 44 3
A 53 45 5
A 53 46 18
A 53 47 3
A 53 48 12
A 53 49 18
A 53 50 9
A 53 51 18
A 53 52 7
A 53 53 3
A 53 54 4
A 53 55 1
A 53 56 22
A 53 57 18
A 53 58 5
A 53 59 2
A 53 60 17
A 53 61 8
A 53 62 4
A 53 63 12
A 53 64 0
A 53 65 21
A 53 66 20
A 53 67 12
A 53 68 21
A 53 69 25
A 53 70 0
A 53 71 24
A 53 72 10
A 53 73 5
A 53 74 16
A 53 75 5
A 53 76 21
A 53 77 16
A 53 78 2
A 53 79 14
A 53 80 24
A 53 81 4
A 53 82 22
A 53 83 3
A 53 84 23
A 53 85 21
A 53 86 18
A 53 87 21
A 53 88 12
A 53 89 9
A 53 90 3
A 53 91 5
A 53 92 8
A 53 93 22
A 53 94 23
A 53 95 11
A 53 96 20
A 53 97 0
A 53 98 17
A 53 99 3
A 54 0 17
A 54 1 5
A 54 2 19
A 54 3 17
A 54 4 3
A 54 5 19
A 54 6 25
A 54 7 9
A 54 8 14
A 54 9 6
A 54 10 3
A 54 11 20
A 54 12 25
A 54 13 7
A 54 14 13
A 54 15 19
A 54 16 5
A 54 17 12
A 54 18 7
A 54 19 11
A 54 20 8
A 54 21 14
A 54 22 14
A 54 23 18
A 54 24 5
A 54 25 9
A 54 26 3
A 54 27 11
A 54 28 6
A 54 29 16
A 54 30 23
A 54 31 16
A 54 32 0
A 54 33 2
A 54 34 11
A 54 35 22
A 54 36 3
A 54 37 13
A 54 38 10
A 54 39 24
A 54 40 11
A 54 41 1
A 54 42 6
A 54 43 18
A 54 44 19
A 54 45 12
A 54 46 11
A 54 47 22
A 54 48 10
A 54 49 23
A 54 50 3
A 54 51 1
A 54 52 25
A 54 53 17
A 54 54 16
A 54 55 6
A 54 56 20
A 54 57 1
A 54 58 3
A 54 59 19
A 54 60 19
A 54 61 3
A 54 62 18
A 54 63 12
A 54 64 17
A 54 65 15
A 54 66 17
A 54 67 17
A 54 68 3
A 54 69 21
A 54 70 13
A 54 71 11
A 54 72 4
A 54 73 20
A 54 74 11
A 54 75 15
A 54 76 11
A 54 77 4
A 54 78 15
A 54 79 20
A 54 80 3
A 54 81 19
A 54 82 1
A 54 83 25
A 54 84 10
A 54 85 17
A 54 86 18
A 54 87 17
A 54 88 23
A 54 89 22
A 54 90 6
A 54 91 18
A 54 92 21
A 54 93 19
A 54 94 18
A 54 95 4
A 54 96 21
A 54 97 4
A 54 98 13
A 54 99 10
A 55 0 9
A 55 1 23
A 55 2 15
A 55 3 15
A 55 4 9
A 55 5 23
A 55 6 18
A 55 7 15
A 55 8 13
A 55 9 21
A 55 10 2
A 55 11 2
A 55 12 0
A 55 13 4
A 55 14 9
A 55 15 15
A 55 16 1
A 55 17 21
A 55 18 12
A 55 19 11
A 55 20 25
A 55 21 16
A 55 22 6
A 55 23 14
A 55 24 1
A 55 25 23
A 55 26 12
A 55 27 22
A 55 28 16
A 55 29 22
A 55 30 11
A 55 31 13
A 55 32 21
A 55 33 20
A 55 34 0
A 55 35 17
A 55 36 8
A 55 37 7
A 55 38 24
A 55 39 20
A 55 40 2
A 55 41 9
A 55 42 2
A 55 43 0
A 55 44 16
A 55 45 21
A 55 46 2
A 55 47 21
A 55 48 12
A 55 49 14
A 55 50 22
A 55 51 8
A 55 52 12
A 55 53 5
A 55 54 18
A 55 55 4
A 55 56 13
A 55 57 21
A 55 58 7
A 55 59 1
A 55 60 16
A 55 61 13
A 55 62 2
A 55 63 8
A 55 64 25
A 55 65 11
A 55 66 8
A 55 67 10
A 55 68 21
A 55 69 24
A 55 70 1
A 55 71 9
A 55 72 17
A 55 73 18
A 55 74 23
A 55 75 15
A 55 76 2
A 55 77 18
A 55 78 8
A 55 79 15
A 55 80 8
A 55 81 14
A 55 82 20
A 55 83 11
A 55 84 13
A 55 85 14
A 55 86 25
A 55 87 15
A 55 88 16
A 55 89 8
A 55 90 6
A 55 91 17
A 55 92 10
A 55 93 17
A 55 94 13
A 55 95 16
A 55 96 7
A 55 97 10
A 55 98 0
A 55 99 5
A 56 0 6
A 56 1 8
A 56 2 18
A 56 3 5
A 56 4 8
A 56 5 25
A 56 6 0
A 56 7 7
A 56 8 13
A 56 9 10
A 56 10 18
A 56 11 2
A 56 12 15
A 56 13 14
A 56 14 6
A 56 15 12
A 56 16 25
A 56 17 25
A 56 18 20
A 56 19 18
A 56 20 11
A 56 21 7
A 56 22 22
A 56 23 9
A 56 24 18
A 56 25 16
A 56 26 24
A 56 27 10
A 56 28 24
A 56 29 8
A 56 30 7
A 56 31 10
A 56 32 14
A 56 33 18
A 56 34 9
A 56 35 25
A 56 36 7
A 56 37 8
A 56 38 8
A 56 39 16
A 56 40 4
A 56 41 16
A 56 42 18
A 56 43 18
A 56 44 4
A 56 45 21
A 56 46 10
A 56 47 19
A 56 48 7
A 56 49 16
A 56 50 17
A 56 51 9
A 56 52 7
A 56 53 21
A 56 54 11
A 56 55 8
A 56 56 21
A 56 57 3
A 56 58 17
A 56 59 14
A 56 60 18
A 56 61 4
A 56 62 20
A 56 63 8
A 56 64 7
A 56 65 13
A 56 66 5
A 56 67 25
A 56 68 17
A 56 69 18
A 56 70 23
A 56 71 5
A 56 72 10
A 56 73 10
A 56 74 11
A 56 75 2
A 56 76 21
A 56 77 15
A 56 78 2
A 56 79 7
A 56 80 16
A 56 81 13
A 56 82 19
A 56 83 25
A 56 84 14
A 56 85 11
A 56 86 6
A 56 87 19
A 56 88 23
A 56 89 20
A 56 90 17
A 56 91 15
A 56 92 4
A 56 93 6
A 56 94 0
A 56 95 3
A 56 96 1
A 56 97 10
A 56 98 19
A 56 99 4
A 57 0 17
A 57 1 17
A 57 2 19
A 57 3 19
A 57 4 4
A 57 5 20
A 57 6 24
A 57 7 3
A 57 8 21
A 57 9 6
A 57 10 16
A 57 11 4
A 57 12 4
A 57 13 1
A 57 14 21
A 57 15 23
A 57 16 14
A 57 17 1
A 57 18 1
A 57 19 21
A 57 20 2
A 57 21 16
A 57 22 14
A 57 23 1
A 57 24 9
A 57 25 5
A 57 26 25
A 57 27 5
A 57 28 4
A 57 29 18
A 57 30 21
A 57 31 16
A 57 32 7
A 57 33 0
A 57 34 9
A 57 35 6
A 57 36 16
A 57 37 10
A 57 38 4
A 57 39 18
A 57 40 24
A 57 41 6
A 57 42 19
A 57 43 10
A 57 44 23
A 57 45 3
A 57 46 7
A 57 47 10
A 57 48 2
A 57 49 12
A 57 50 19
A 57 51 13
A 57 52 9
A 57 53 17
A 57 54 15
A 57 55 0
A 57 56 12
A 57 57 5
A 57 58 14
A 57 59 14
A 57 60 2
A 57 61 15
A 57 62 11
A 57 63 8
A 57 64 22
A 57 65 20
A 57 66 8
A 57 67 0
A 57 68 20
A 57 69 16
A 57 70 2
A 57 71 8
A 57 72 23
A 57 73 12
A 57 74 25
A 57 75 24
A 57 76 6
A 57 77 13
A 57 78 18
A 57 79 0
A 57 80 3
A 57 81 1
A 57 82 16
A 57 83 21
A 57 84 13
A 57 85 6
A 57 86 18
A 57 87 24
A 57 88 6
A 57 89 8
A 57 90 16
A 57 91 6
A 57 92 8
A 57 93 5
A 57 94 18
A 57 95 13
A 57 96 13
A 57 97 0
A 57 98 25
A 57 99 24
A 58 0 20
A 58 1 14
A 58 2 13
A 58 3 24
A 58 4 6
A 58 5 11
A 58 6 14
A 58 7 5
A 58 8 12
A 58 9 9
A 58 10 23
A 58 11 13
A 58 12 18
A 58 13 14
A 58 14 22
A 58 15 9
A 58 16 23
A 58 17 25
A 58 18 8
A 58 19 7
A 58 20 6
A 58 21 10
A 58 22 0
A 58 23 16
A 58 24 0
A 58 25 20
A 58 26 15
A 58 27 13
A 58 28 9
A 58 29 10
A 58 30 7
A 58 31 24
A 58 32 7
A 58 33 6
A 58 34 25
A 58 35 9
A 58 36 25
A 58 37 11
A 58 38 17
A 58 39 7
A 58 40 20
A 58 41 11
A 58 42 7
A 58 43 21
A 58 44 8
A 58 45 24
A 58 46 24
A 58 47 21
A 58 48 23
A 58 49 3
A 58 50 21
A 58 51 0
A 58 52 8
A 58 53 6
A 58 54 17
A 58 55 6
A 58 56 21
A 58 57 24
A 58 58 14
A 58 59 25
A 58 60 6
A 58 61 2
A 58 62 15
A 58 63 17
A 58 64 8
A 58 65 23
A 58 66 23
A 58 67 17
A 58 68 12
A 58 69 9
A 58 70 23
A 58 71 10
A 58 72 25
A 58 73 24
A 58 74 18
A 58 75 7
A 58 76 14
A 58 77 0
A 58 78 11
A 58 79 24
A 58 80 1
A 58 81 16
A 58 82 6
A 58 83 0
A 58 84 20
A 58 85 4
A 58 86 1
A 58 87 15
A 58 88 20
A 58 89 7
A 58 90 14
A 58 91 7
A 58 92 13
A 58 93 6
A 58 94 10
A 58 95 14
A 58 96 15
A 58 97 14
A 58 98 13
A 58 99 11
A 59 0 18
A 59 1 2
A 59 2 18
A 59 3 1
A 59 4 3
A 59 5 11
A 59 6 8
A 59 7 20
A 59 8 19
A 59 9 2
A 59 10 11
A 59 11 18
A 59 12 15
A 59 13 12
A 59 14 20
A 59 15 24
A 59 16 11
A 59 17 13
A 59 18 13
A 59 19 25
A 59 20 13
A 59 21 9
A 59 22 14
A 59 23 2
A 59 24 4
A 59 25 4
A 59 26 4
A 59 27 5
A 59 28 9
A 59 29 1
A 59 30 24
A 59 31 1
A 59 32 8
A 59 33 6
A 59 34 15
A 59 35 11
A 59 36 18
A 59 37 24
A 59 38 23
A 59 39 18
A 59 40 13
A 59 41 18
A 59 42 0
A 59 43 23
A 59 44 10
A 59 45 9
A 59 46 18
A 59 47 25
A 59 48 8
A 59 49 9
A 59 50 0
A 59 51 16
A 59 52 13
A 59 53 16
A 59 54 6
A 59 55 3
A 59 56 3
A 59 57 13
A 59 58 16
A 59 59 16
A 59 60 5
A 59 61 23
A 59 62 18
A 59 63 15
A 59 64 24
A 59 65 21
A 59 66 13
A 59 67 20
A 59 68 8
A 59 69 3
A 59 70 12
A 59 71 15
A 59 72 8
A 59 73 19
A 59 74 21
A 59 75 14
A 59 76 13
A 59 77 15
A 59 78 13
A 59 79 17
A 59 80 7
A 59 81 14
A 59 82 14
A 59 83 7
A 59 84 10
A 59 85 18
A 59 86 4
A 59 87 11
A 59 88 8
A 59 89 21
A 59 90 4
A 59 91 2
A 59 92 14
A 59 93 23
A 59 94 17
A 59 95 16
A 59 96 14
A 59 97 8
A 59 98 4
A 59 99 10
A 60 0 8
A 60 1 25
A 60 2 24
A 60 3 25
A 60 4 11
A 60 5 7
A 60 6 14
A 60 7 25
A 60 8 16
A 60 9 12
A 60 10 3
A 60 11 15
A 60 12 17
A 60 13 14
A 60 14 20
A 60 15 10
A 60 16 11
A 60 17 11
A 60 18 10
A 60 19 3
A 60 20 2
A 60 21 23
A 60 22 9
A 60 23 0
A 60 24 9
A 60 25 13
A 60 26 13
A 60 27 8
A 60 28 14
A 60 29 11
A 60 30 15
A 60 31 22
A 60 32 3
A 60 33 2
A 60 34 14
A 60 35 20
A 60 36 15
A 60 37 22
A 60 38 10
A 60 39 8
A 60 40 21
A 60 41 22
A 60 42 1
A 60 43 6
A 60 44 19
A 60 45 24
A 60 46 3
A 60 47 18
A 60 48 11
A 60 49 1
A 60 50 6
A 60 51 13
A 60 52 22
A 60 53 10
A 60 54 21
A 60 55 1
A 60 56 20
A 60 57 12
A 60 58 18
A 60 59 17
A 60 60 16
A 60 61 17
A 60 62 3
A 60 63 19
A 60 64 4
A 60 65 10
A 60 66 5
A 60 67 16
A 60 68 22
A 60 69 1
A 60 70 5
A 60 71 1
A 60 72 24
A 60 73 4
A 60 74 18
A 60 75 24
A 60 76 19
A 60 77 2
A 60 78 21
A 60 79 22
A 60 80 13
A 60 81 13
A 60 82 25
A 60 83 11
A 60 84 2
A 60 85 25
A 60 86 21
A 60 87 14
A 60 88 21
A 60 89 21
A 60 90 10
A 60 91 15
A 60 92 14
A 60 93 3
A 60 94 13
A 60 95 16
A 60 96 6
A 60 97 8
A 60 98 5
A 60 99 9
A 61 0 7
A 61 1 0
A 61 2 16
A 61 3 8
A 61 4 3
A 61 5 12
A 61 6 17
A 61 7 2
A 61 8 16
A 61 9 3
A 61 10 6
A 61 11 25
A 61 12 6
A 61 13 18
A 61 14 19
A 61 15 12
A 61 16 7
A 61 17 11
A 61 18 3
A 61 19 5
A 61 20 25
A 61 21 5
A 61 22 20
A 61 23 10
A 61 24 23
A 61 25 6
A 61 26 2
A 61 27 20
A 61 28 5
A 61 29 19
A 61 30 13
A 61 31 11
A 61 32 2
A 61 33 2
A 61 34 8
A 61 35 24
A 61 36 11
A 61 37 4
A 61 38 20
A 61 39 13
A 61 40 6
A 61 41 6
A 61 42 15
A 61 43 9
A 61 44 6
A 61 45 19
A 61 46 19
A 61 47 14
A 61 48 9
A 61 49 25
A 61 50 2
A 61 51 7
A 61 52 5
A 61 53 24
A 61 54 1
A 61 55 24
A 61 56 21
A 61 57 2
A 61 58 6
A 61 59 24
A 61 60 14
A 61 61 5
A 61 62 0
A 61 63 25
A 61 64 8
A 61 65 20
A 61 66 6
A 61 67 8
A 61 68 3
A 61 69 20
A 61 70 23
A 61 71 4
A 61 72 21
A 61 73 1
A 61 74 0
A 61 75 22
A 61 76 22
A 61 77 15
A 61 78 23
A 61 79 9
A 61 80 2
A 61 81 12
A 61 82 6
A 61 83 18
A 61 84 17
A 61 85 20
A 61 86 13
A 61 87 1
A 61 88 17
A 61 89 19
A 61 90 21
A 61 91 19
A 61 92 19
A 61 93 11
A 61 94 2
A 61 95 7
A 61 96 17
A 61 97 4
A 61 98 19
A 61 99 13
A 62 0 23
A 62 1 16
A 62 2 16
A 62 3 19
A 62 4 4
A 62 5 0
A 62 6 12
A 62 7 2
A 62 8 3
A 62 9 3
A 62 10 3
A 62 11 11
A 62 12 20
A 62 13 13
A 62 14 0
A 62 15 17
A 62 16 0
A 62 17 7
A 62 18 21
A 62 19 9
A 62 20 1
A 62 21 6
A 62 22 8
A 62 23 24
A 62 24 5
A 62 25 25
A 62 26 18
A 62 27 21
A 62 28 11
A 62 29 19
A 62 30 20
A 62 31 10
A 62 32 19
A 62 33 15
A 62 34 25
A 62 35 12
A 62 36 6
A 62 37 23
A 62 38 12
A 62 39 4
A 62 40 16
A 62 41 6
A 62 42 18
A 62 43 25
A 62 44 22
A 62 45 14
A 62 46 16
A 62 47 21
A 62 48 21
A 62 49 25
A 62 50 20
A 62 51 0
A 62 52 19
A 62 53 3
A 62 54 6
A 62 55 10
A 62 56 7
A 62 57 11
A 62 58 23
A 62 59 15
A 62 60 4
A 62 61 0
A 62 62 21
A 62 63 24
A 62 64 13
A 62 65 1
A 62 66 10
A 62 67 18
A 62 68 18
A 62 69 22
A 62 70 12
A 62 71 8
A 62 72 16
A 62 73 19
A 62 74 6
A 62 75 10
A 62 76 8
A 62 77 16
A 62 78 1
A 62 79 10
A 62 80 17
A 62 81 14
A 62 82 16
A 62 83 17
A 62 84 20
A 62 85 22
A 62 86 18
A 62 87 17
A 62 88 7
A 62 89 15
A 62 90 15
A 62 91 16
A 62 92 20
A 62 93 11
A 62 94 17
A 62 95 15
A 62 96 7
A 62 97 17
A 62 98 16
A 62 99 10
A 63 0 8
A 63 1 4
A 63 2 24
A 63 3 14
A 63 4 25
A 63 5 6
A 63 6 19
A 63 7 5
A 63 8 1
A 63 9 17
A 63 10 6
A 63 11 13
A 63 12 11
A 63 13 20
A 63 14 23
A 63 15 21
A 63 16 24
A 63 17 18
A 63 18 7
A 63 19 18
A 63 20 1
A 63 21 15
A 63 22 24
A 63 23 8
A 63 24 23
A 63 25 4
A 63 26 10
A 63 27 24
A 63 28 25
A 63 29 3
A 63 30 2
A 63 31 7
A 63 32 8
A 63 33 25
A 63 34 8
A 63 35 20
A 63 36 10
A 63 37 14
A 63 38 22
A 63 39 11
A 63 40 1
A 63 41 20
A 63 42 25
A 63 43 6
A 63 44 10
A 63 45 14
A 63 46 9
A 63 47 1
A 63 48 15
A 63 49 12
A 63 50 6
A 63 51 20
A 63 52 11
A 63 53 23
A 63 54 5
A 63 55 0
A 63 56 13
A 63 57 2
A 63 58 23
A 63 59 12
A 63 60 24
A 63 61 4
A 63 62 1
A 63 63 23
A 63 64 0
A 63 65 15
A 63 66 19
A 63 67 14
A 63 68 13
A 63 69 9
A 63 70 0
A 63 71 22
A 63 72 11
A 63 73 4
A 63 74 18
A 63 75 14
A 63 76 18
A 63 77 6
A 63 78 8
A 63 79 0
A 63 80 15
A 63 81 15
A 63 82 24
A 63 83 18
A 63 84 24
A 63 85 7
A 63 86 6
A 63 87 5
A 63 88 13
A 63 89 19
A 63 90 15
A 63 91 20
A 63 92 24
A 63 93 19
A 63 94 13
A 63 95 6
A 63 96 7
A 63 97 4
A 63 98 22
A 63 99 2
A 64 0 2
A 64 1 1
A 64 2 0
A 64 3 3
A 64 4 5
A 64 5 11
A 64 6 14
A 64 7 18
A 64 8 13
A 64 9 25
A 64 10 19
A 64 11 3
A 64 12 14
A 64 13 15
A 64 14 15
A 64 15 7
A 64 16 5
A 64 17 7
A 64 18 3
A 64 19 21
A 64 20 22
A 64 21 18
A 64 22 17
A 64 23 21
A 64 24 7
A 64 25 8
A 64 26 10
A 64 27 25
A 64 28 16
A 64 29 22
A 64 30 21
A 64 31 7
A 64 32 2
A 64 33 4
A 64 34 14
A 64 35 17
A 64 36 21
A 64 37 5
A 64 38 15
A 64 39 16
A 64 40 24
A 64 41 16
A 64 42 18
A 64 43 4
A 64 44 10
A 64 45 25
A 64 46 11
A 64 47 22
A 64 48 3
A 64 49 9
A 64 50 20
A 64 51 15
A 64 52 24
A 64 53 8
A 64 54 14
A 64 55 20
A 64 56 16
A 64 57 19
A 64 58 13
A 64 59 6
A 64 60 20
A 64 61 7
A 64 62 12
A 64 63 15
A 64 64 7
A 64 65 23
A 64 66 19
A 64 67 1
A 64 68 16
A 64 69 9
A 64 70 13
A 64 71 17
A 64 72 15
A 64 73 17
A 64 74 16
A 64 75 5
A 64 76 20
A 64 77 7
A 64 78 23
A 64 79 12
A 64 80 9
A 64 81 15
A 64 82 3
A 64 83 18
A 64 84 1
A 64 85 18
A 64 86 15
A 64 87 15
A 64 88 12
A 64 89 24
A 64 90 8
A 64 91 13
A 64 92 17
A 64 93 6
A 64 94 17
A 64 95 19
A 64 96 13
A 64 97 17
A 64 98 13
A 64 99 23
A 65 0 22
A 65 1 7
A 65 2 14
A 65 3 4
A 65 4 20
A 65 5 24
A 65 6 12
A 65 7 6
A 65 8 16
A 65 9 23
A 65 10 13
A 65 11 7
A 65 12 7
A 65 13 10
A 65 14 1
A 65 15 8
A 65 16 4
A 65 17 21
A 65 18 1
A 65 19 6
A 65 20 14
A 65 21 18
A 65 22 14
A 65 23 0
A 65 24 1
A 65 25 3
A 65 26 13
A 65 27 13
A 65 28 14
A 65 29 17
A 65 30 10
A 65 31 12
A 65 32 17
A 65 33 9
A 65 34 6
A 65 35 14
A 65 36 7
A 65 37 17
A 65 38 9
A 65 39 7
A 65 40 4
A 65 41 5
A 65 42 22
A 65 43 19
A 65 44 21
A 65 45 20
A 65 46 7
A 65 47 5
A 65 48 3
A 65 49 11
A 65 50 11
A 65 51 6
A 65 52 6
A 65 53 25
A 65 54 13
A 65 55 0
A 65 56 25
A 65 57 9
A 65 58 5
A 65 59 10
A 65 60 14
A 65 61 1
A 65 62 18
A 65 63 0
A 65 64 13
A 65 65 20
A 65 66 20
A 65 67 10
A 65 68 21
A 65 69 0
A 65 70 6
A 65 71 7
A 65 72 16
A 65 73 22
A 65 74 22
A 65 75 23
A 65 76 23
A 65 77 23
A 65 78 6
A 65 79 0
A 65 80 9
A 65 81 17
A 65 82 0
A 65 83 23
A 65 84 10
A 65 85 17
A 65 86 4
A 65 87 1
A 65 88 10
A 65 89 10
A 65 90 0
A 65 91 22
A 65 92 2
A 65 93 6
A 65 94 19
A 65 95 16
A 65 96 23
A 65 97 1
A 65 98 25
A 65 99 14
A 66 0 22
A 66 1 25
A 66 2 23
A 66 3 13
A 66 4 14
A 66 5 9
A 66 6 17
A 66 7 12
A 66 8 16
A 66 9 2
A 66 10 4
A 66 11 24
A 66 12 15
A 66 13 1
A 66 14 14
A 66 15 15
A 66 16 12
A 66 17 14
A 66 18 20
A 66 19 9
A 66 20 1
A 66 21 23
A 66 22 8
A 66 23 12
A 66 24 24
A 66 25 1
A 66 26 0
A 66 27 20
A 66 28 10
A 66 29 2
A 66 30 17
A 66 31 8
A 66 32 19
A 66 33 12
A 66 34 22
A 66 35 15
A 66 36 19
A 66 37 14
A 66 38 17
A 66 39 15
A 66 40 25
A 66 41 2
A 66 42 19
A 66 43 24
A 66 44 2
A 66 45 2
A 66 46 14
A 66 47 12
A 66 48 0
A 66 49 24
A 66 50 9
A 66 51 16
A 66 52 4
A 66 53 2
A 66 54 14
A 66 55 3
A 66 56 9
A 66 57 9
A 66 58 17
A 66 59 25
